bin,comparator_regression_count,comparator_regression_rate,comparison,from_t,interpretable,paired_difference,seed,selective_regression_count,selective_regression_rate,support_count,to_t
"[0.0,0.4)",,nan,symmetric_kl,2,False,nan,4,,nan,0,3
"[0.4,0.6)",,nan,symmetric_kl,2,False,nan,4,,nan,0,3
"[0.6,0.8)",,nan,symmetric_kl,2,False,nan,4,,nan,3,3
"[0.8,0.9)",,nan,symmetric_kl,2,False,nan,4,,nan,3,3
"[0.9,1.000001)",,0.014236902050113895,symmetric_kl,2,True,-0.014236902050113895,4,,0.0,7024,3
eligible>=0.6,5,0.05743165632896853,symmetric_kl,3,True,-0.03445899379738112,4,2,0.02297266253158741,8706,4
"[0.0,0.4)",,nan,symmetric_kl,3,False,nan,4,,nan,0,4
"[0.4,0.6)",,nan,symmetric_kl,3,False,nan,4,,nan,1,4
"[0.6,0.8)",,nan,symmetric_kl,3,False,nan,4,,nan,4,4
"[0.8,0.9)",,nan,symmetric_kl,3,False,nan,4,,nan,7,4
"[0.9,1.000001)",,0.0,symmetric_kl,3,True,0.0,4,,0.0,7951,4
eligible>=0.6,5,0.05324813631522897,symmetric_kl,4,True,-0.042598509052183174,4,1,0.010649627263045794,9390,5
"[0.0,0.4)",,nan,symmetric_kl,4,False,nan,4,,nan,0,5
"[0.4,0.6)",,nan,symmetric_kl,4,False,nan,4,,nan,4,5
"[0.6,0.8)",,nan,symmetric_kl,4,False,nan,4,,nan,2,5
"[0.8,0.9)",,nan,symmetric_kl,4,False,nan,4,,nan,4,5
"[0.9,1.000001)",,0.0,symmetric_kl,4,True,0.0,4,,0.0,8863,5
eligible>=0.6,2,0.020618556701030927,symmetric_kl,5,True,0.010309278350515465,4,3,0.030927835051546393,9700,6
"[0.0,0.4)",,nan,symmetric_kl,5,False,nan,4,,nan,0,6
"[0.4,0.6)",,nan,symmetric_kl,5,False,nan,4,,nan,5,6
"[0.6,0.8)",,nan,symmetric_kl,5,False,nan,4,,nan,9,6
"[0.8,0.9)",,nan,symmetric_kl,5,False,nan,4,,nan,12,6
"[0.9,1.000001)",,0.0,symmetric_kl,5,True,0.0,4,,0.0,9372,6
eligible>=0.6,2,0.020493903063838508,symmetric_kl,6,True,0.030740854595757764,4,5,0.05123475765959627,9759,7
"[0.0,0.4)",,nan,symmetric_kl,6,False,nan,4,,nan,0,7
"[0.4,0.6)",,nan,symmetric_kl,6,False,nan,4,,nan,3,7
"[0.6,0.8)",,nan,symmetric_kl,6,False,nan,4,,nan,13,7
"[0.8,0.9)",,nan,symmetric_kl,6,False,nan,4,,nan,17,7
"[0.9,1.000001)",,0.0,symmetric_kl,6,True,0.0,4,,0.0,9465,7
eligible>=0.6,0,0.0,symmetric_kl,7,True,0.02042275094455223,4,2,0.02042275094455223,9793,8
"[0.0,0.4)",,nan,symmetric_kl,7,False,nan,4,,nan,0,8
"[0.4,0.6)",,nan,symmetric_kl,7,False,nan,4,,nan,6,8
"[0.6,0.8)",,nan,symmetric_kl,7,False,nan,4,,nan,17,8
"[0.8,0.9)",,nan,symmetric_kl,7,False,nan,4,,nan,22,8
"[0.9,1.000001)",,0.0,symmetric_kl,7,True,0.0,4,,0.0,9545,8
eligible>=0.6,4,0.07271405199054717,symmetric_kl,1,True,0.09089256498818396,5,9,0.16360661697873113,5501,2
"[0.0,0.4)",,nan,symmetric_kl,1,False,nan,5,,nan,0,2
